burnout,horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,autonomia,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,genero,teletrabajo,tipo_contrato,ocupacion_isco,edad,burnout_bin
,40.0,1.0,3.0,2.0,2.0,,4.0,4.0,5.0,4.0,60.0,5.0,7,8.0,2,6.0,1.0,2,49.0,
2.0,40.0,4.0,3.0,2.0,2.0,3.33,,4.0,5.0,4.0,64.0,4.0,7,6.0,2,4.0,1.0,4,35.0,0.0
4.0,40.0,5.0,4.0,1.0,2.0,1.67,,3.0,3.0,4.0,72.0,5.0,7,5.0,1,1.0,3.0,9,34.0,1.0
,37.0,3.0,5.0,3.0,2.0,2.67,2.0,2.0,1.0,2.0,40.0,5.0,7,5.0,1,2.0,1.0,9,41.0,
,30.0,4.0,4.0,3.0,2.0,,5.0,5.0,5.0,5.0,64.0,4.0,7,7.0,2,6.0,1.0,4,44.0,
1.0,40.0,4.0,4.0,3.0,2.0,4.67,5.0,5.0,4.0,4.0,76.0,6.0,7,3.0,1,4.0,1.0,4,52.0,1.0
3.0,40.0,2.0,1.0,3.0,2.0,,5.0,4.0,1.0,5.0,64.0,4.0,7,6.0,1,1.0,2.0,1,29.0,1.0
,43.0,3.0,4.0,3.0,2.0,4.0,,5.0,5.0,4.0,68.0,4.0,7,7.0,1,5.0,1.0,3,45.0,
,40.0,4.0,3.0,2.0,2.0,4.33,5.0,5.0,4.0,4.0,60.0,5.0,7,6.0,1,5.0,1.0,3,57.0,
,40.0,2.0,4.0,3.0,2.0,,4.0,5.0,5.0,5.0,80.0,8.0,7,5.0,1,1.0,1.0,5,53.0,
,35.0,2.0,3.0,1.0,1.0,,5.0,5.0,5.0,4.0,72.0,4.0,7,8.0,2,1.0,4.0,2,24.0,
2.0,41.0,4.0,3.0,2.0,2.0,3.33,,4.0,4.0,4.0,52.0,4.0,7,6.0,2,4.0,1.0,2,32.0,0.0
2.0,40.0,3.0,2.0,2.0,2.0,4.0,,5.0,4.0,5.0,56.0,6.0,7,5.0,1,1.0,6.0,3,44.0,0.0
,40.0,2.0,4.0,2.0,2.0,,4.0,5.0,5.0,4.0,84.0,8.0,7,7.0,2,2.0,1.0,3,29.0,
,50.0,1.0,3.0,3.0,1.0,,,,4.0,5.0,84.0,1.0,7,5.0,1,1.0,,3,52.0,
2.0,48.0,5.0,5.0,5.0,2.0,3.67,2.0,5.0,4.0,2.0,72.0,6.0,7,7.0,1,1.0,1.0,7,41.0,0.0
,40.0,4.0,3.0,2.0,2.0,2.67,5.0,5.0,5.0,5.0,72.0,2.0,7,6.0,1,2.0,1.0,3,54.0,
4.0,60.0,5.0,4.0,2.0,2.0,3.0,,,4.0,2.0,60.0,1.0,7,5.0,1,1.0,,3,51.0,1.0
