horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,teletrabajo
40.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,56.0,1.0,7,4.0,1.0
64.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,60.0,5.0,7,6.0,6.0
40.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,92.0,4.0,7,5.0,2.0
40.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,88.0,4.0,7,8.0,5.0
40.0,1.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,72.0,2.0,7,4.0,5.0
40.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,52.0,5.0,7,7.0,2.0
40.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,2.0,40.0,4.0,7,5.0,5.0
40.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,80.0,4.0,7,9.0,4.0
40.0,2.0,4.0,3.0,2.0,5.0,5.0,1.0,3.0,76.0,7.0,7,7.0,2.0
40.0,5.0,5.0,1.0,2.0,5.0,5.0,2.0,4.0,40.0,8.0,7,7.0,2.0
40.0,2.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,76.0,5.0,7,6.0,2.0
40.0,1.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,44.0,4.0,7,8.0,4.0
50.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,2.0,96.0,4.0,7,4.0,1.0
40.0,5.0,5.0,2.0,1.0,4.0,5.0,3.0,3.0,16.0,8.0,7,8.0,6.0
40.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,96.0,4.0,7,5.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,80.0,8.0,7,5.0,3.0
38.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,64.0,8.0,7,8.0,3.0
43.0,4.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,52.0,7.0,7,6.0,3.0
44.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,72.0,6.0,7,5.0,1.0
40.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,80.0,2.0,7,8.0,6.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,1.0,4.0,80.0,4.0,7,5.0,3.0
40.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0,4.0,20.0,4.0,7,5.0,4.0
40.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,5.0,64.0,5.0,7,9.0,3.0
40.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,76.0,8.0,7,3.0,1.0
50.0,5.0,5.0,3.0,1.0,2.0,4.0,1.0,2.0,68.0,5.0,7,8.0,1.0
40.0,3.0,2.0,2.0,2.0,1.0,5.0,3.0,4.0,84.0,4.0,7,7.0,1.0
39.0,5.0,5.0,1.0,1.0,4.0,3.0,5.0,3.0,56.0,8.0,7,8.0,3.0
